기능 ID,사용 대상,대분류,대분류 코드,중분류,중분류 코드,소분류,소분류 코드,단위 프로세스명,세부 단위 프로세스명
NULLUS_ORG_000_010,관리자,조직,ORG,시스템 최초 설정,000,Default Organization 생성,010,Nullus 최초 기동 시 Default Organization 자동 생성,"기능: DB 마이그레이션/앱 기동 시 default org가 없으면 자동 생성
구현: Flyway/Liquibase init 스크립트 또는 ApplicationRunner에서 orgs 테이블 조회 후 insert
데이터/포맷: orgs { id, name, slug, domain, status, created_at } | slug: 'default' 고정"
NULLUS_ORG_000_020,관리자,조직,ORG,시스템 최초 설정,000,Default Admin 생성,020,Nullus 최초 기동 시 Default Admin 계정 자동 생성 및 지정,"기능: default org에 admin 역할 사용자 1명 자동 생성
구현: ApplicationRunner에서 users/org_members 확인 후 없으면 insert, bcrypt 패스워드
데이터/포맷: users { id, email, password_hash }; org_members { org_id, user_id, role } | role: admin"
NULLUS_ORG_010_010,관리자,조직,ORG,Organization 관리,010,Organization 등록,010,Organization 생성 (이름/슬러그/도메인 입력 후 DB 저장),"기능: 새 조직 생성, slug 유니크 검증
구현: POST /api/v1/orgs, slug 자동 생성 또는 입력, domain 검증(선택)
데이터/포맷: JSON { name, slug, domain? } → orgs 테이블 insert"
NULLUS_ORG_010_020,관리자,조직,ORG,Organization 관리,010,Organization 조회,020,Organization 상세 정보 조회,"기능: 단일 Organization 상세 조회
구현: GET /api/v1/orgs/:orgId, RBAC 체크
데이터/포맷: JSON { id, name, slug, domain, status, default_admin_id, created_at }"
NULLUS_ORG_010_030,관리자,조직,ORG,Organization 관리,010,Organization 수정,030,Organization 기본정보 수정 (이름/슬러그/도메인 변경),"기능: 조직 기본정보 변경
구현: PUT /api/v1/orgs/:orgId, slug 변경 시 유니크 재검증
데이터/포맷: JSON { name?, slug?, domain? } → orgs UPDATE"
NULLUS_ORG_010_040,관리자,조직,ORG,Organization 관리,010,Organization 삭제,040,Organization 삭제 또는 비활성화 후 완전 삭제,"기능: 조직 소프트삭제 또는 완전삭제
구현: DELETE /api/v1/orgs/:orgId, status=deleted 또는 CASCADE delete
데이터/포맷: orgs.status='deleted' 또는 DELETE FROM orgs WHERE id=?"
NULLUS_ORG_010_050,관리자,조직,ORG,Organization 관리,010,상태 전환,050,Organization 활성/비활성 상태 전환,"기능: 조직 활성/비활성 토글
구현: PUT /api/v1/orgs/:orgId/status { status: active|inactive }
데이터/포맷: orgs.status UPDATE"
NULLUS_ORG_010_060,관리자,조직,ORG,Organization 관리,010,관리자 지정,060,Organization 기본 관리자 계정 지정,"기능: 조직의 기본 관리자 지정
구현: PUT /api/v1/orgs/:orgId/default-admin { user_id }, org_members에서 admin 역할 부여
데이터/포맷: orgs.default_admin_id UPDATE; org_members INSERT/UPDATE"
NULLUS_ORG_010_070,관리자,조직,ORG,Organization 관리,010,관리자 변경,070,Organization 기본 관리자 계정 변경,"기능: 기본 관리자 변경
구현: PUT /api/v1/orgs/:orgId/default-admin { user_id }, 기존 해제 후 신규 지정
데이터/포맷: orgs.default_admin_id UPDATE"
NULLUS_ORG_020_010,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 조회,010,Organization별 접근 가능 클러스터 목록 조회,"기능: 조직이 접근 가능한 클러스터 목록 조회
구현: GET /api/v1/orgs/:orgId/accessible-clusters, org_cluster_access 조인
데이터/포맷: JSON [{ cluster_id, cluster_name, access_type }]"
NULLUS_ORG_020_020,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 설정,020,Organization에 클러스터 접근 권한 부여,"기능: 조직-클러스터 매핑 추가
구현: POST /api/v1/orgs/:orgId/cluster-access { cluster_id }, org_cluster_access INSERT
데이터/포맷: org_cluster_access { org_id, cluster_id, created_at }"
NULLUS_ORG_020_030,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 수정,030,Organization 클러스터 접근 권한 변경,"기능: 접근 범위 수정 (예: read→write)
구현: PUT /api/v1/orgs/:orgId/cluster-access/:clusterId { access_type }
데이터/포맷: org_cluster_access.access_type UPDATE"
NULLUS_ORG_020_040,관리자,조직,ORG,클러스터 접근 범위,020,접근 범위 해제,040,Organization 클러스터 접근 권한 제거,"기능: 조직-클러스터 접근 해제
구현: DELETE /api/v1/orgs/:orgId/cluster-access/:clusterId
데이터/포맷: org_cluster_access DELETE"
NULLUS_ORG_030_010,관리자,조직,ORG,멤버 관리,030,멤버 초대,010,Organization 멤버 초대,"기능: 초대 링크 생성 및 이메일 발송
구현: POST /api/v1/orgs/:orgId/invites { email, role }, token(UUID) 생성, invite_links 저장, SMTP 발송
데이터/포맷: invite_links { token, org_id, email, role, expires_at }; 링크: /invite?token=xxx"
NULLUS_ORG_030_030,관리자,조직,ORG,멤버 관리,030,멤버 목록 조회,030,Organization 멤버 목록 조회,"기능: 조직 멤버 목록 페이징 조회
구현: GET /api/v1/orgs/:orgId/members?page&size
데이터/포맷: JSON { items: [{ user_id, email, role, joined_at }], total }"
NULLUS_ORG_030_040,관리자,조직,ORG,멤버 관리,030,멤버 역할 수정,040,Organization 멤버 역할 변경 (관리자/데브옵스/개발자),"기능: 멤버 역할 변경
구현: PUT /api/v1/orgs/:orgId/members/:userId { role: admin|devops|developer }
데이터/포맷: org_members.role UPDATE"
NULLUS_ORG_030_050,관리자,조직,ORG,멤버 관리,030,멤버 비활성화,050,Organization 멤버 비활성화 (접근 차단),"기능: 멤버 비활성화(접근 차단)
구현: PUT /api/v1/orgs/:orgId/members/:userId/status { active: false }
데이터/포맷: org_members.is_active=false UPDATE"
NULLUS_ORG_030_060,관리자,조직,ORG,멤버 관리,030,멤버 제거,060,Organization 멤버 제거,"기능: 조직에서 멤버 제거
구현: DELETE /api/v1/orgs/:orgId/members/:userId
데이터/포맷: org_members DELETE"
NULLUS_CLU_040_020,관리자/데브옵스,클러스터,CLU,Organization 접근,040,접근 Organization 설정,020,클러스터별 접근 가능 Organization 설정,"기능: 클러스터에 접근 가능한 조직 설정
구현: POST /api/v1/clusters/:id/org-access { org_id }, cluster_org_access INSERT
데이터/포맷: cluster_org_access { cluster_id, org_id }"
NULLUS_CLU_040_030,관리자/데브옵스,클러스터,CLU,Organization 접근,040,접근 Organization 수정,030,클러스터별 접근 가능 Organization 변경,"기능: 클러스터-조직 접근 수정
구현: PUT /api/v1/clusters/:id/org-access/:orgId, DELETE 후 재추가 또는 UPDATE
데이터/포맷: cluster_org_access UPDATE"
NULLUS_DSS_010_010,관리자/데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 등록,010,DevSecOps Golden Path 템플릿 등록 (도구조합/버전/권장사례/필요리소스 정의 후 저장),"기능: Golden Path 템플릿 등록
구현: POST /api/v1/templates, YAML 또는 JSON body, templates 테이블 + template_tools 저장
데이터/포맷: JSON { name, tools: [{ id, version }], resources, description } → templates, template_tools INSERT"
NULLUS_DSS_010_040,관리자/데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 수정,040,DevSecOps Golden Path 템플릿 정보 수정,"기능: 템플릿 정보 수정
구현: PUT /api/v1/templates/:id, templates/template_tools UPDATE
데이터/포맷: JSON 동일 구조 → UPDATE"
NULLUS_DSS_010_050,관리자/데브옵스,DevSecOps 스택,DSS,Golden Path 템플릿,010,템플릿 삭제,050,DevSecOps Golden Path 템플릿 삭제,"기능: 템플릿 삭제(소프트 또는 하드)
구현: DELETE /api/v1/templates/:id, 참조 스택 없을 때만 허용
데이터/포맷: templates DELETE 또는 status=deleted"
NULLUS_DSS_060_010,관리자/데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,호환성 매트릭스 조회,010,DevSecOps OSS 호환성 매트릭스 조회 (compatibility-matrix.yaml),"기능: compatibility-matrix.yaml 기반 매트릭스 조회
구현: GET /api/v1/compatibility, YAML 파싱 후 JSON 변환 또는 DB 캐시
데이터/포맷: YAML { tools: [{ name, versions: [{ helm_version, app_version }] }], validated_combinations } → JSON"
NULLUS_DSS_060_020,관리자/데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,호환성 매트릭스 등록,020,DevSecOps OSS 검증된 버전 조합 등록,"기능: 검증된 버전 조합 등록
구현: POST /api/v1/compatibility, compatibility_matrix 테이블 INSERT
데이터/포맷: JSON { tool_combination, status: validated } → compatibility_matrix INSERT"
NULLUS_DSS_060_030,관리자/데브옵스,DevSecOps 스택,DSS,OSS 버전 호환성,060,Chart/App 버전 분리,030,DevSecOps OSS helm_version과 app_version 필드 분리 관리,"기능: Helm chart 버전과 앱 버전 분리 저장
구현: compatibility 스키마에 helm_version, app_version 별도 컬럼
데이터/포맷: { tool_id, helm_version, app_version } (Narwhal VERSIONS.md 참고)"
